date,Adj_Close_BTC-USD,Open_BTC-USD,High_BTC-USD,Low_BTC-USD,Volume_BTC-USD,Adj_Close_SPY,Adj_Close_GLD,Adj_Close_CHFUSD=X,Adj_Close_CNYUSD=X,Adj_Close_EURUSD=X,Adj_Close_GBPUSD=X,Adj_Close_JPYUSD=X
14/12/20,19246.64453,19144.49219,19305.09961,19012.70898,22473997681.0,361.9267883,171.5399933,1.12544167,0.152772054,1.213340402,1.331823945,0.009621028
15/12/20,19417.07617,19246.91992,19525.00781,19079.8418,26741982541.0,366.8198242,173.9400024,1.127929807,0.152678758,1.214889646,1.333084464,0.00961446
16/12/20,21310.59766,19418.81836,21458.9082,19298.31641,44409011479.0,367.3955078,174.8999939,1.129382014,0.152944952,1.21543014,1.344447494,0.009649343
17/12/20,22805.16211,21308.35156,23642.66016,21234.67578,71378606374.0,369.4499817,176.7400055,1.129445791,0.15310888,1.219958544,1.350292921,0.00966417
18/12/20,23137.96094,22806.79688,23238.60156,22399.8125,40387896275.0,367.9747925,176.4400024,1.130301118,0.153090119,1.226271629,1.357017875,0.009696406
19/12/20,23869.83203,23132.86523,24085.85547,22826.47266,38487546580.0,367.9747925,176.4400024,1.130301118,0.153090119,1.226271629,1.357017875,0.009696406
20/12/20,23477.29492,23861.76563,24209.66016,23147.71094,37844228422.0,367.9747925,176.4400024,1.130301118,0.153090119,1.226271629,1.357017875,0.009696406
21/12/20,22803.08203,23474.45508,24059.98242,22159.36719,45852713981.0,366.6590881,175.8800049,1.129330993,0.152998775,1.221612811,1.340195179,0.009665851
22/12/20,23783.0293,22794.03906,23789.90234,22430.60547,44171632681.0,366.0411072,174.4900055,1.129330993,0.152713716,1.223690629,1.344953656,0.009676795
23/12/20,23241.3457,23781.97461,24024.49023,22802.64648,51146161904.0,366.3700562,175.6499939,1.126303673,0.152853772,1.218665123,1.339943767,0.009658664
24/12/20,23735.94922,23240.20313,23768.33789,22777.59766,41080759713.0,367.7953796,176.3500061,1.126253009,0.152914554,1.21914053,1.350530028,0.009656983
25/12/20,24664.79102,23733.57031,24710.10156,23463.67383,42068395846.0,367.7953796,176.3500061,1.122460365,0.153162822,1.218472004,1.355200887,0.009647574
26/12/20,26437.03711,24677.01563,26718.07031,24522.68945,48332647295.0,367.7953796,176.3500061,1.122460365,0.153162822,1.218472004,1.355200887,0.009647574
27/12/20,26272.29492,26439.37305,28288.83984,25922.76953,66479895605.0,367.7953796,176.3500061,1.122460365,0.153162822,1.218472004,1.355200887,0.009647574
28/12/20,27084.80859,26280.82227,27389.11133,26207.64063,49056742893.0,370.9550476,175.7100067,1.124315619,0.152886495,1.220509529,1.357238889,0.009658757
29/12/20,27362.4375,27081.81055,27370.7207,25987.29883,45265946774.0,370.247345,176.3500061,1.125745773,0.153008133,1.222344518,1.346601844,0.009644224
30/12/20,28840.95313,27360.08984,28937.74023,27360.08984,51287442704.0,370.7756042,177.6999969,1.13109374,0.153139353,1.225295067,1.349990368,0.009656332
31/12/20,29001.7207,28841.57422,29244.87695,28201.99219,46754964848.0,372.6594543,178.3600006,1.134327054,0.153322503,1.229989648,1.363066316,0.009697346
1/1/21,29374.15234,28994.00977,29600.62695,28803.58594,40730301359.0,372.6594543,178.3600006,1.113461733,0.153099492,1.218026876,1.367300749,0.009687482
2/1/21,32127.26758,29376.45508,33155.11719,29091.18164,67865420765.0,372.6594543,178.3600006,1.113461733,0.153099492,1.218026876,1.367300749,0.009687482
3/1/21,32782.02344,32129.4082,34608.55859,32052.31641,78665235202.0,372.6594543,178.3600006,1.113461733,0.153099492,1.218026876,1.367300749,0.009687482
4/1/21,31971.91406,32810.94922,33440.21875,28722.75586,81163475344.0,367.5860901,182.3300018,1.132374644,0.153092474,1.225069761,1.368419647,0.009686262
5/1/21,33992.42969,31977.04102,34437.58984,30221.1875,67547324782.0,370.1177673,182.8699951,1.134764671,0.15478678,1.225159883,1.357159615,0.00969697
6/1/21,36824.36328,34013.61328,36879.69922,33514.03516,75289433811.0,372.3305054,179.8999939,1.138718724,0.154913858,1.230027437,1.362954974,0.009739185
7/1/21,39371.04297,36833.875,40180.36719,36491.19141,84762141031.0,377.8624268,179.4799957,1.138861418,0.154781982,1.234110832,1.362527728,0.009706476
8/1/21,40797.60938,39381.76563,41946.73828,36838.63672,88107519480.0,380.0153809,173.3399963,1.12975204,0.154387698,1.22714448,1.356962562,0.009634839
9/1/21,40254.54688,40788.64063,41436.35156,38980.875,61984162837.0,380.0153809,173.3399963,1.12975204,0.154387698,1.22714448,1.356962562,0.009634839
10/1/21,38356.44141,40254.21875,41420.19141,35984.62891,79980747690.0,380.0153809,173.3399963,1.12975204,0.154387698,1.22714448,1.356962562,0.009634839
11/1/21,35566.65625,38346.53125,38346.53125,30549.59961,123000000000.0,377.4537659,173.0,1.126582861,0.154456854,1.218620539,1.351625323,0.009606978
